filename,area,month,,,
210224_barcode49,PORT,oct,,,
210224_barcode50,CARABACEL,oct,,,
210224_barcode51,PAILLON,oct,,,
210224_barcode52,NICE ETOILE,oct,,,
210224_barcode53,WEST JEAN MEDECIN,oct,,,
210224_barcode54,MUSICIENS,oct,,,
210224_barcode55,EAST GAMBETTA,oct,,,
210224_barcode56,WEST GAMBETTA,oct,,,
210224_barcode61,MAGNAN,oct,,,
210224_barcode62,MADELEINE,oct,,,
210224_barcode63,FABRON,oct,,,
210224_barcode64,CARRAS,oct,,,
210224_barcode65,EAST NICE,oct,,,
210224_barcode66,HALIOTIS,oct,,,
210224_barcode67,HALIOTIS,oct,,,
210224_barcode70,NORTH ARIANE,oct,,,
210224_barcode71,SOUTH ARIANE,oct,,,
210224_barcode68,Ste MAX FRAIS,extra,,,
210224_barcode69,Ste MAX vieilli,extra,,,
PAD99547_210127_cagablea_barcode01,PORT,jan,,,
PAD99547_210127_cagablea_barcode02,CARABACEL,jan,,,
PAD99547_210127_cagablea_barcode03,PAILLON,jan,,,
PAD99547_210127_cagablea_barcode04,NICE ETOILE,jan,,,
PAD99547_210127_cagablea_barcode05,NICE ETOILE,jan,,,
PAD99547_210127_cagablea_barcode06,WEST JEAN MEDECIN,jan,,,
PAD99547_210127_cagablea_barcode07,MUSICIENS,jan,,,
PAD99547_210127_cagablea_barcode08,EAST GAMBETTA,jan,,,
PAD99547_210127_cagablea_barcode09,WEST GAMBETTA,jan,,,
PAD99547_210127_cagablea_barcode10,MAGNAN,jan,,,
PAD99547_210127_cagablea_barcode11,MADELEINE,jan,,,
PAD99547_210127_cagablea_barcode12,FABRON,jan,,,
PAD99547_210127_cagablea_barcode13,CARRAS,jan,,,
PAD99547_210127_cagablea_barcode14,EAST NICE,jan,,,
PAD99547_210127_cagablea_barcode15,WEST NICE,jan,,,
PAD99547_210127_cagablea_barcode16,HALIOTIS,jan,,,
PAD99547_210127_cagablea_barcode17,HALIOTIS,jan,,,
PAD99547_210127_cagablea_barcode18,ARIANE,jan,,,
PAD99547_210127_cagablea_barcode19,LES MOULINS,jan,,,
PAD99547_210127_cagablea_barcode20,LAS PLANAS,jan,,,
PAD99547_210127_cagablea_barcode21,BON VOYAGE,jan,,,
PAD99547_210127_cagablea_barcode22,HALIOTIS,jan,,,
PAE56081_201109_barcode04,EAST NICE,nov_old,,,
PAE56081_201109_barcode05,WEST NICE,nov_old,,,
PAE56081_201109_barcode06,ARIANE,nov_old,,,
PAE56081_201109_barcode07,LES MOULINS,nov_old,,,
PAE56081_201110_barcode01,PORT,nov_old,,,
PAE56081_201110_barcode02,CARABACEL,nov_old,,,
PAE56081_201110_barcode03,PAILLON,nov_old,,,
PAE56081_201110_barcode04,NICE ETOILE,nov_old,,,
PAE56081_201110_barcode05,WEST JEAN MEDECIN,nov_old,,,
PAE56081_201110_barcode06,MUSICIENS,nov_old,,,
PAE56081_201110_barcode07,EAST GAMBETTA,nov_old,,,
PAE56081_201110_barcode08,WEST GAMBETTA,nov_old,,,
PAE56081_201110_barcode09,MAGNAN,nov_old,,,
PAE56081_201110_barcode10,MADELEINE,nov_old,,,
PAE56081_201110_barcode11,LAS PLANAS,nov_old,,,
PAE56081_201110_barcode12,HALIOTIS,nov_old,,,
PAE59299_20201223_cagablea_barcode01,PORT,dec,,,
PAE59299_20201223_cagablea_barcode02,CARABACEL,dec,,,
PAE59299_20201223_cagablea_barcode03,PAILLON,dec,,,
PAE59299_20201223_cagablea_barcode04,WEST JEAN MEDECIN,dec,,,
PAE59299_20201223_cagablea_barcode05,NICE ETOILE,dec,,,
PAE59299_20201223_cagablea_barcode06,MUSICIENS,dec,,,
PAE59299_20201223_cagablea_barcode07,WEST GAMBETTA,dec,,,
PAE59299_20201223_cagablea_barcode08,EAST GAMBETTA,dec,,,
PAE59299_20201223_cagablea_barcode09,FABRON,dec,,,
PAE59299_20201223_cagablea_barcode10,CARRAS,dec,,,
PAE59299_20201223_cagablea_barcode11,BON VOYAGE,dec,,,
PAE59299_20201223_cagablea_barcode12,EAST NICE,dec,,,
PAE59299_20201223_cagablea_barcode13,MAGNAN,dec,,,
PAE59299_20201223_cagablea_barcode14,ARIANE,dec,,,
PAE59299_20201223_cagablea_barcode15,MADELEINE,dec,,,
PAE59299_20201223_cagablea_barcode16,LES MOULINS,dec,,,
PAE59299_20201223_cagablea_barcode17,WEST NICE,dec,,,
PAE59299_20201223_cagablea_barcode18,LAS PLANAS,dec,,,
PAE59299_20201223_cagablea_barcode19,HALIOTIS,dec,,,
PAG40684_20210302_cagablea.barcode01,ARIANE,feb,,,
PAG40684_20210302_cagablea.barcode02,BON VOYAGE,feb,,,
PAG40684_20210302_cagablea.barcode03,LAS PLANAS,feb,,,
PAG40684_20210302_cagablea.barcode04,PORT,feb,,,
PAG40684_20210302_cagablea.barcode05,VIEUX NICE,feb,,,
PAG40684_20210302_cagablea.barcode06,CARABACEL,feb,,,
PAG40684_20210302_cagablea.barcode07,NICE ETOILE,feb,,,
PAG40684_20210302_cagablea.barcode08,PAILLON,feb,,,
PAG40684_20210302_cagablea.barcode13,EAST JEAN MEDECIN,feb,,,
PAG40684_20210302_cagablea.barcode14,WEST JEAN MEDECIN,feb,,,
PAG40684_20210302_cagablea.barcode15,MUSICIENS,feb,,,
PAG40684_20210302_cagablea.barcode16,EAST GAMBETTA,feb,,,
PAG40684_20210302_cagablea.barcode17,WEST GAMBETTA,feb,,,
PAG40684_20210302_cagablea.barcode18,MADELEINE,feb,,,
PAG40684_20210302_cagablea.barcode19,MAGNAN,feb,,,
PAG40684_20210302_cagablea.barcode20,FABRON,feb,,,
PAG40684_20210302_cagablea.barcode25,CARRAS,feb,,,
PAG40684_20210302_cagablea.barcode26,WEST NICE,feb,,,
PAG40684_20210302_cagablea.barcode27,EAST NICE,feb,,,
PAG40684_20210302_cagablea.barcode28,LES MOULINS,feb,,,
PAG40684_20210302_cagablea.barcode29,HALIOTIS,feb,,,
PAG40684_20210302_cagablea.barcode30,Haliotis bis,feb_extra,,,
PAG40684_210325_cagablea_barcode37 ,ARIANE,mar,,,
PAG40684_210325_cagablea_barcode38 ,BON VOYAGE,mar,,,
PAG40684_210325_cagablea_barcode39 ,LAS PLANAS,mar,,,
PAG40684_210325_cagablea_barcode40 ,PORT,mar,,,
PAG40684_210325_cagablea_barcode41 ,VIEUX NICE,mar,,,
PAG40684_210325_cagablea_barcode42 ,CARABACEL,mar,,,
PAG40684_210325_cagablea_barcode43 ,NICE ETOILE,mar,,,
PAG40684_210325_cagablea_barcode44 ,PAILLON,mar,,,
PAG40684_210325_cagablea_barcode49 ,EAST JEAN MEDECIN,mar,,,
PAG40684_210325_cagablea_barcode50 ,WEST JEAN MEDECIN,mar,,,
PAG40684_210325_cagablea_barcode51 ,MUSICIENS,mar,,,
PAG40684_210325_cagablea_barcode52 ,EAST GAMBETTA,mar,,,
PAG40684_210325_cagablea_barcode53 ,WEST GAMBETTA,mar,,,
PAG40684_210325_cagablea_barcode54 ,MADELEINE,mar,,,
PAG40684_210325_cagablea_barcode55 ,MAGNAN,mar,,,
PAG40684_210325_cagablea_barcode56 ,FABRON,mar,,,
PAG40684_210325_cagablea_barcode61 ,CARRAS,mar,,,
PAG40684_210325_cagablea_barcode62 ,LES MOULINS,mar,,,
PAG40684_210325_cagablea_barcode63 ,WEST NICE,mar,,,
PAG40684_210325_cagablea_barcode64 ,EAST NICE,mar,,,
PAG40684_210325_cagablea_barcode65 ,HALIOTIS,mar,,,
PAG40684_210325_cagablea_barcode66 ,CergyPontoise,mar_extra,,,
PAG40684_210325_cagablea_barcode67 ,Lezardieux,mar_extra,,,
PAG40684_210325_cagablea_barcode68 ,Pleubrian,mar_extra,,,
PAE59297_20201120_cagablea_barcode01,PORT,nov,,,
PAE59297_20201120_cagablea_barcode02,CARABACEL,nov,,,
PAE59297_20201120_cagablea_barcode03,PAILLON,nov,,,
PAE59297_20201120_cagablea_barcode04,EAST JEAN MEDECIN,nov,,,
PAE59297_20201120_cagablea_barcode05,WEST JEAN MEDECIN,nov,,,
PAE59297_20201120_cagablea_barcode06,MUSICIENS,nov,,,
PAE59297_20201120_cagablea_barcode07,EAST GAMBETTA,nov,,,
PAE59297_20201120_cagablea_barcode08,WEST GAMBETTA,nov,,,
PAE59297_20201120_cagablea_barcode09,MAGNAN,nov,,,
PAE59297_20201120_cagablea_barcode10,MADELEINE,nov,,,
PAE59297_20201120_cagablea_barcode11,FABRON,nov,,,
PAE59297_20201120_cagablea_barcode12,CARRAS,nov,,,
PAE59297_20201120_cagablea_barcode13,EAST NICE,nov,,,
PAE59297_20201120_cagablea_barcode14,WEST NICE,nov,,,
PAE59297_20201120_cagablea_barcode15,Ariane2_vieillissement,nov_extra,,,
PAE59297_20201120_cagablea_barcode16,ARIANE,nov,,,
PAE59297_20201120_cagablea_barcode17,LES MOULINS,nov,,,
PAE59297_20201120_cagablea_barcode18,Las PLANAS,nov,,,
PAE59297_20201120_cagablea_barcode19,HALIOTIS,nov,,,
,,,,,
,,,,,
,,,,,
,,,,,
